timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies,nb anomalies collectives,Unnamed: 24,Unnamed: 25
2016-01-01T00:00,16.01,11.12,16.07,10.86,65.94,160.03,660.49,3301.13,660.08,5.51,30.03,25.01,30.05,25.03,79.8,300.41,801.13,4001.37,801.76,12.45,,100,75,,
2016-01-01T01:00,15.05,10.99,14.05,10.1,65.03,150.04,650.51,3251.66,649.93,5.54,31.83,28.13,31.18,26.97,82.07,318.23,818.79,4089.83,821.23,13.98,,,,,
2016-01-01T02:00,14.96,11.93,13.03,9.99,65.02,150.27,650.17,3251.27,650.1,5.94,34.06,31.19,31.82,29.07,83.99,338.28,841.47,4209.87,841.68,15.55,,,,,
2016-01-01T03:00,15.03,12.06,10.94,7.9,65.0,149.46,650.53,3249.74,649.53,5.94,35.87,33.12,31.95,29.04,86.08,361.63,861.79,4291.36,861.01,16.47,,,,,
2016-01-01T04:00,14.96,12.05,11.92,8.88,65.05,150.35,649.62,3247.94,649.48,5.96,37.82,35.11,35.02,32.0,87.91,382.02,879.08,4410.33,879.55,17.48,,,,,
2016-01-01T05:00,14.96,14.09,13.91,13.18,65.03,149.86,649.54,3252.73,650.52,6.95,40.1,38.83,39.2,38.13,89.82,400.33,898.62,4509.4,899.44,19.53,,,,,
2016-01-01T06:00,16.03,15.98,17.08,16.98,66.03,159.69,660.47,3301.86,660.08,7.98,42.17,41.94,43.2,43.17,92.16,418.46,920.69,4598.6,918.36,21.04,,,,,
2016-01-01T07:00,17.01,19.93,21.9,25.03,66.95,170.3,669.72,3348.74,670.01,10.01,43.84,47.18,48.78,52.12,94.11,441.62,938.8,4694.32,939.44,23.55,,,,,
2016-01-01T08:00,17.96,22.07,24.07,27.97,68.0,179.61,680.17,3402.81,680.57,11.01,46.01,50.08,52.1,56.23,95.94,459.16,961.83,4809.77,959.11,24.91,,,,,
2016-01-01T09:00,18.02,25.08,25.95,32.99,68.04,180.48,680.4,3402.09,680.52,12.54,43.85,51.03,51.84,59.07,94.15,441.0,941.41,4697.85,940.31,25.49,,,,,
