timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
2016-01-01T00:00,15.88,10.34,15.81,11.85,65.98,162.8,658.35,3301.98,662.03,5.51,29.59,25.32,29.26,25.02,80.61,304.71,794.34,4048.53,789.71,12.91,,30,,,,
2016-01-01T01:00,14.89,10.96,13.98,9.68,64.92,148.7,652.2,3258.42,650.37,5.32,32.75,28.72,31.98,27.22,82.43,318.49,819.62,4149.42,818.65,14.47,,,,,,
2016-01-01T02:00,15.27,11.69,13.13,10.9,64.79,152.31,650.08,3258.22,652.83,5.68,34.41,31.62,33.01,30.0,83.1,343.89,849.87,4199.01,830.03,15.8,,,,,,
2016-01-01T03:00,14.98,12.47,11.37,7.13,65.27,148.6,651.44,3244.72,649.56,6.07,34.99,32.29,32.27,29.46,85.91,359.16,858.65,4309.49,866.9,16.09,,,,,,
2016-01-01T04:00,15.27,11.42,12.37,9.56,65.23,148.43,650.09,3249.49,647.95,6.01,37.35,35.04,35.92,31.36,87.84,375.09,887.97,4448.24,870.69,17.12,,,,,,
2016-01-01T05:00,15.1,13.98,13.98,13.61,64.72,152.22,651.82,3261.53,648.21,7.13,40.1,39.55,39.77,38.12,89.08,402.08,893.72,4468.74,893.22,19.73,,,,,,
2016-01-01T06:00,15.93,16.39,16.99,16.25,66.11,159.31,657.65,3298.78,658.96,7.71,42.37,41.72,43.03,43.73,91.15,425.75,915.54,4612.77,925.32,20.63,,,,,,
2016-01-01T07:00,16.86,20.49,22.21,24.71,66.94,170.99,671.22,3353.79,672.27,10.15,44.0,47.16,48.98,52.06,93.18,435.76,949.12,4718.27,936.7,23.16,,,,,,
2016-01-01T08:00,18.07,22.62,23.67,27.9,68.21,177.36,677.3,3389.18,680.33,10.81,46.63,50.45,51.16,56.55,95.72,462.54,966.61,4749.45,967.01,24.88,,,,,,
2016-01-01T09:00,18.01,24.45,25.96,32.5,68.13,177.29,680.68,3399.33,682.17,12.2,43.46,51.25,52.05,59.87,93.21,430.25,934.52,4712.99,935.91,25.24,,,,,,
2016-01-01T10:00,18.77,27.66,26.6,34.79,69.07,192.67,691.0,3455.16,691.21,13.7,42.51,49.8,50.72,58.27,91.86,409.76,917.43,4568.77,928.9,25.26,,,,,,
2016-01-01T11:00,19.17,24.78,26.3,31.07,69.27,187.8,692.0,3452.85,690.8,12.19,40.31,46.52,46.26,52.83,90.94,401.6,894.63,4488.74,898.03,23.18,,,,,,
2016-01-01T12:00,20.85,25.47,27.22,31.93,71.18,212.37,707.81,3558.61,710.68,13.23,35.06,40.97,41.92,45.36,84.84,342.75,855.13,4225.96,840.54,20.41,,,,,,
2016-01-01T13:00,21.92,28.62,27.73,33.63,71.77,220.85,719.25,3607.64,717.14,13.94,30.09,36.57,36.37,41.74,79.15,307.68,800.47,4014.63,794.59,17.74,,,,,,
2016-01-01T14:00,22.1,28.73,27.49,34.09,72.18,221.23,718.97,3599.6,720.98,14.24,25.47,32.36,30.39,36.01,76.0,242.28,750.62,3790.32,756.68,16.17,,,,,,
