timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
2016-01-01T00:00,16.03,11.1,15.92,10.9,65.95,159.79,660.04,3301.18,660.14,5.54,30.07,24.93,29.84,25.07,80.08,300.54,798.67,4004.94,800.31,12.55,,30,,,,
2016-01-01T01:00,15.05,10.93,14.09,10.03,65.0,150.55,649.98,3251.07,650.07,5.45,32.17,27.94,30.85,26.97,81.96,319.76,821.9,4107.48,820.66,13.91,,,,,,
2016-01-01T02:00,15.05,11.96,12.93,9.99,65.04,150.14,649.87,3249.33,650.1,5.94,34.18,30.88,31.82,29.18,83.89,338.4,839.24,4194.25,839.39,15.57,,,,,,
2016-01-01T03:00,14.98,11.92,11.04,7.87,64.96,150.38,649.89,3250.38,650.34,5.93,35.94,32.87,31.78,28.96,85.89,359.67,858.21,4297.01,858.09,16.42,,,,,,
2016-01-01T04:00,14.97,12.04,12.0,8.99,65.01,149.68,650.52,3248.81,649.47,5.93,38.11,34.81,35.16,31.92,88.01,378.87,879.2,4403.79,878.94,17.54,,,,,,
2016-01-01T05:00,15.0,13.92,13.96,13.09,65.0,150.1,649.71,3252.7,649.67,6.96,40.2,38.93,38.98,38.08,90.14,400.46,897.95,4494.4,901.12,19.58,,,,,,
2016-01-01T06:00,16.0,16.06,16.9,17.08,66.04,159.58,659.48,3299.46,659.61,7.96,42.11,42.17,43.21,42.88,91.88,420.3,921.84,4594.34,921.99,21.02,,,,,,
2016-01-01T07:00,17.02,20.02,21.95,24.84,66.99,169.44,670.19,3347.68,670.44,9.94,44.08,47.03,49.06,52.22,94.07,439.87,940.32,4702.75,941.43,23.52,,,,,,
2016-01-01T08:00,18.05,21.97,24.01,27.88,68.05,179.55,679.54,3397.28,679.52,11.0,45.82,49.9,51.87,55.83,96.02,458.02,958.49,4800.63,961.84,25.07,,,,,,
2016-01-01T09:00,18.01,24.89,26.04,33.07,68.0,180.39,679.61,3400.25,679.44,12.46,43.89,50.93,51.97,58.98,93.79,439.2,938.5,4694.43,940.97,25.42,,,,,,
