timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
2016-01-01T00:00,16.14,11.22,16.23,10.79,65.96,159.82,660.53,3306.52,660.39,5.39,30.26,25.36,29.65,24.46,80.48,298.37,803.93,4021.53,800.0,12.58,,30,,,,
2016-01-01T01:00,14.93,11.15,13.86,10.29,64.94,149.88,650.78,3254.24,649.72,5.62,31.79,27.72,30.7,26.56,82.03,317.79,824.3,4113.5,817.3,14.07,,,,,,
2016-01-01T02:00,15.06,11.91,12.77,9.73,65.11,150.58,651.26,3246.68,649.14,6.0,33.66,30.64,31.9,29.21,83.89,342.17,844.55,4183.46,838.98,15.7,,,,,,
2016-01-01T03:00,14.89,12.15,10.84,8.18,64.95,149.11,648.94,3255.61,650.89,6.13,36.23,32.98,32.48,29.28,85.66,356.59,855.3,4277.81,857.59,16.61,,,,,,
2016-01-01T04:00,15.01,12.33,12.11,8.61,64.91,150.24,648.84,3247.68,650.64,5.96,38.01,34.79,35.47,32.17,87.51,383.85,882.5,4395.68,883.07,17.65,,,,,,
2016-01-01T05:00,14.88,14.25,13.91,13.41,64.87,151.12,648.62,3246.03,651.06,6.99,40.21,38.56,38.72,37.9,90.04,397.84,899.34,4501.77,901.19,19.29,,,,,,
2016-01-01T06:00,15.99,15.94,17.2,16.62,65.9,158.76,660.3,3297.69,659.76,7.96,41.52,41.89,42.78,42.96,92.23,419.34,920.95,4599.39,915.5,20.84,,,,,,
2016-01-01T07:00,16.89,20.1,22.17,24.98,67.1,170.33,670.41,3353.75,670.97,9.88,44.25,46.61,49.32,51.92,93.94,440.41,936.03,4680.17,939.25,23.55,,,,,,
2016-01-01T08:00,17.88,21.87,23.81,27.72,67.99,179.22,680.16,3400.08,680.95,11.03,45.98,50.2,52.36,56.31,96.0,459.55,956.38,4790.63,962.72,25.11,,,,,,
2016-01-01T09:00,17.9,25.28,26.11,33.31,67.97,181.33,679.65,3400.29,680.59,12.5,44.24,50.52,51.92,59.11,94.25,435.55,940.74,4675.99,942.69,25.46,,,,,,
2016-01-01T10:00,18.93,26.99,27.03,35.25,69.1,190.92,688.83,3451.92,689.04,13.4,42.05,49.59,50.13,58.07,91.68,416.55,920.24,4596.9,922.03,24.93,,,,,,
2016-01-01T11:00,19.09,25.07,26.05,31.79,69.03,189.61,690.89,3451.17,688.56,12.64,39.77,46.23,46.74,53.28,90.49,401.61,903.92,4504.36,901.33,23.16,,,,,,
2016-01-01T12:00,21.04,26.06,26.76,32.1,71.14,210.91,710.01,3555.5,709.62,12.94,34.98,39.59,41.03,46.02,85.24,350.19,847.01,4255.89,844.95,19.79,,,,,,
