timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies,nb anomalies collectives,Unnamed: 24,Unnamed: 25
2016-01-01T00:00,16.0,11.61,15.94,11.82,65.74,159.88,658.43,3299.41,658.47,5.48,29.26,25.55,29.97,23.87,80.49,294.05,810.15,4041.53,808.64,12.7,,100,75,,
2016-01-01T01:00,14.98,11.0,13.87,10.73,64.78,147.16,648.39,3240.84,650.47,5.75,31.01,27.28,30.54,27.71,81.24,315.92,817.74,4058.14,827.05,14.38,,,,,
2016-01-01T02:00,15.03,12.09,12.57,10.68,64.85,149.26,649.88,3241.07,648.91,6.09,34.61,30.39,32.82,29.84,84.33,349.07,840.38,4189.25,840.19,15.13,,,,,
2016-01-01T03:00,14.91,11.59,10.64,7.99,64.73,149.6,651.6,3248.11,650.7,6.16,34.99,33.23,31.83,28.31,85.24,359.01,864.09,4260.3,859.23,16.77,,,,,
2016-01-01T04:00,14.82,11.38,12.16,8.06,65.2,148.6,649.42,3243.39,652.19,5.73,37.24,34.96,35.11,32.27,87.07,381.77,871.2,4371.34,882.9,17.33,,,,,
2016-01-01T05:00,15.08,13.88,13.58,12.13,64.88,151.65,648.1,3239.79,648.38,6.95,39.58,39.72,39.72,38.52,89.95,404.04,900.07,4461.36,898.67,19.2,,,,,
2016-01-01T06:00,15.97,15.83,17.22,17.6,65.91,160.51,659.89,3296.26,660.37,7.75,42.71,41.37,42.2,43.76,91.1,428.09,921.37,4606.51,927.42,21.03,,,,,
2016-01-01T07:00,16.97,20.46,21.8,25.16,66.77,170.72,671.61,3341.51,668.4,9.76,43.23,46.91,48.13,52.56,93.81,430.23,948.49,4710.66,943.17,23.97,,,,,
2016-01-01T08:00,17.74,22.19,23.9,28.03,67.98,177.14,678.14,3387.82,679.19,10.87,46.63,49.77,51.29,55.13,96.69,456.78,952.98,4850.76,964.0,25.04,,,,,
2016-01-01T09:00,18.23,25.42,25.99,32.97,67.9,177.55,677.73,3406.92,681.16,12.43,43.95,50.61,52.21,57.86,93.15,437.64,930.99,4731.41,940.69,25.53,,,,,
2016-01-01T10:00,18.83,27.59,27.36,35.26,69.09,191.35,689.24,3446.88,692.46,13.38,42.84,49.51,50.1,59.15,91.29,429.25,924.4,4646.85,910.72,24.56,,,,,
2016-01-01T11:00,19.28,25.44,26.19,32.7,69.2,187.66,690.15,3442.24,688.24,12.81,39.11,45.85,45.97,54.11,89.72,402.53,895.03,4511.85,890.99,23.16,,,,,
2016-01-01T12:00,21.13,25.78,26.65,31.61,71.0,211.11,707.39,3545.84,709.2,12.84,35.24,39.96,39.97,45.13,84.15,344.43,857.37,4282.54,850.07,20.28,,,,,
2016-01-01T13:00,22.05,28.36,27.86,34.74,71.84,221.31,719.46,3585.97,720.64,13.83,30.24,36.16,35.02,42.23,79.36,308.44,808.02,4024.42,796.37,18.32,,,,,
2016-01-01T14:00,21.78,29.03,27.0,34.89,72.06,221.61,719.56,3596.76,722.4,14.78,25.99,31.47,29.13,36.74,75.62,254.47,746.53,3728.21,747.07,15.72,,,,,
2016-01-01T15:00,23.02,31.45,26.78,34.79,72.93,231.85,732.16,3650.43,732.46,15.67,19.56,27.74,23.94,32.18,70.11,191.93,708.27,3537.24,700.17,14.0,,,,,
2016-01-01T16:00,24.06,32.16,27.09,35.42,73.94,240.32,740.85,3698.11,737.28,15.97,15.86,23.23,17.18,25.13,64.06,153.54,654.06,3198.68,647.78,11.33,,,,,
2016-01-01T17:00,23.22,28.72,24.64,31.75,72.77,227.32,727.75,3648.64,732.84,14.3,9.02,15.86,12.39,18.96,60.79,101.73,610.13,3045.72,591.71,7.85,,,,,
2016-01-01T18:00,22.01,29.15,23.71,31.28,72.0,221.02,722.07,3601.59,722.61,14.46,14.27,22.86,16.18,25.05,64.65,155.94,648.14,3207.73,650.25,10.98,,,,,
2016-01-01T19:00,21.13,26.39,21.79,26.18,70.96,208.18,711.93,3552.57,707.91,12.96,19.98,24.2,19.96,26.08,70.01,207.35,702.21,3535.55,702.49,12.96,,,,,
2016-01-01T20:00,19.04,22.59,19.46,23.7,69.28,189.49,690.44,3442.1,691.44,11.32,24.02,28.13,27.09,28.31,74.35,258.24,751.95,3755.45,755.46,13.67,,,,,
2016-01-01T21:00,19.01,21.63,19.25,21.49,68.9,188.86,691.85,3459.77,691.26,10.58,30.4,31.62,29.51,32.17,80.15,304.24,809.69,4047.98,800.37,15.54,,,,,
2016-01-01T22:00,18.19,19.99,18.11,19.65,68.21,178.22,680.99,3404.13,677.94,9.77,40.46,41.84,40.74,41.01,89.24,391.45,896.24,4450.02,890.6,21.04,,,,,
2016-01-01T23:00,17.01,16.5,17.16,15.13,67.2,172.61,672.75,3364.32,669.09,7.76,45.55,44.22,45.17,44.57,94.91,447.77,953.61,4733.84,940.3,21.99,,,,,
2016-01-02T00:00,15.83,10.64,16.04,11.31,65.76,162.53,660.74,3300.19,658.72,5.39,30.14,24.64,28.88,24.66,80.66,293.15,792.11,3967.02,809.73,12.32,,,,,
2016-01-02T01:00,15.22,10.7,13.93,9.77,64.72,147.97,648.09,3241.86,651.08,5.25,32.63,28.75,32.06,27.22,82.96,312.13,825.16,4103.44,819.14,14.4,,,,,
2016-01-02T02:00,14.8,11.7,13.04,10.32,65.1,148.54,651.55,3257.02,650.83,5.71,33.1,31.23,31.27,29.59,84.63,343.49,848.29,4170.11,846.55,15.69,,,,,
2016-01-02T03:00,15.24,12.47,11.47,7.09,64.77,152.13,651.34,3263.73,649.58,6.32,36.4,32.58,32.57,29.25,86.27,362.01,858.31,4280.69,852.75,16.45,,,,,
2016-01-02T04:00,14.96,11.51,12.22,8.9,64.88,149.85,647.81,3237.07,649.46,6.2,37.62,35.2,35.73,31.03,87.75,384.67,884.0,4364.62,880.11,17.96,,,,,
2016-01-02T05:00,14.79,13.99,14.3,13.4,65.24,150.73,649.31,3253.97,652.41,7.19,39.77,38.67,38.44,38.81,89.34,404.92,906.71,4483.27,893.52,19.7,,,,,
2016-01-02T06:00,15.92,16.27,17.26,17.06,66.09,161.39,659.85,3304.75,658.64,8.11,42.67,42.31,42.68,43.45,92.75,419.94,920.31,4569.98,920.56,20.89,,,,,
